M_C;M_A;IS_SYM;P;T;Rho
62.061;73.071;0;0.1;298.15;1121.05
62.061;73.071;0;0.1;303.15;1116.04
62.061;73.071;0;0.1;313.15;1105.32
62.061;73.071;0;0.1;323.15;1092.97
62.061;73.071;0;0.1;333.15;1079.64
62.061;73.071;0;0.1;343.15;1066.02
62.061;73.071;0;10;298.15;1124.85
62.061;73.071;0;10;303.15;1120.99
62.061;73.071;0;10;313.15;1110.2
62.061;73.071;0;10;323.15;1098.3
62.061;73.071;0;10;333.15;1084.89
62.061;73.071;0;10;343.15;1070.64
62.061;73.071;0;15;298.15;1127.56
62.061;73.071;0;15;303.15;1121.82
62.061;73.071;0;15;313.15;1111.31
62.061;73.071;0;15;323.15;1099.74
62.061;73.071;0;15;333.15;1087.37
62.061;73.071;0;15;343.15;1074.26
62.061;73.071;0;20;298.15;1128.24
62.061;73.071;0;20;303.15;1123.27
62.061;73.071;0;20;313.15;1113.26
62.061;73.071;0;20;323.15;1102.02
62.061;73.071;0;20;333.15;1089.68
62.061;73.071;0;20;343.15;1076.57
62.061;73.071;0;25;298.15;1129.44
62.061;73.071;0;25;303.15;1124.9
62.061;73.071;0;25;313.15;1114.8
62.061;73.071;0;25;323.15;1103.86
62.061;73.071;0;25;333.15;1091.76
62.061;73.071;0;25;343.15;1079
62.061;73.071;0;30;298.15;1131.13
62.061;73.071;0;30;303.15;1126.34
62.061;73.071;0;30;313.15;1116.22
62.061;73.071;0;30;323.15;1105.48
62.061;73.071;0;30;333.15;1093.93
62.061;73.071;0;30;343.15;1081.82
62.061;73.071;0;35;298.15;1132.46
62.061;73.071;0;35;303.15;1127.24
62.061;73.071;0;35;313.15;1117.76
62.061;73.071;0;35;323.15;1107.27
62.061;73.071;0;35;333.15;1096.1
62.061;73.071;0;35;343.15;1084.08
267.244;280.146;0;0.1019;293.75;1262.45422
267.244;280.146;0;0.1019;312.85;1245.869063
267.244;280.146;0;0.1019;333.15;1228.466123
267.244;280.146;0;0.1019;352.95;1211.469284
267.244;280.146;0;0.1019;373.25;1193.763711
267.244;280.146;0;9.81;293.75;1269.860949
267.244;280.146;0;9.81;312.85;1253.814661
267.244;280.146;0;9.81;333.15;1237.011602
267.244;280.146;0;9.81;352.95;1220.658329
267.244;280.146;0;9.81;373.25;1203.722958
267.244;280.146;0;19.62;293.75;1276.887306
267.244;280.146;0;19.62;312.85;1261.334326
267.244;280.146;0;19.62;333.15;1245.071826
