;Test true y;Pred
0;1484.17;1484.5435
1;1251.8;1252.746
2;1414.3;1421.2422
3;1434.54;1455.0115
4;1453.62;1454.2389
5;1376.78;1376.1627
6;1509.97;1508.5902
7;1204.17;1198.1046
8;1314.974042;1316.2802
9;1558.22;1558.1742
10;1282.0;1285.4106
11;1306.76163;1306.2223
12;1210.63;1209.5532
13;1339.666942;1341.6411
14;1067.4;1069.6724
15;1318.43;1324.4907
16;1047.4;1047.1997
17;1184.56;1185.1553
18;1244.905589;1247.1975
19;1194.39;1192.6664
20;1415.03;1415.5905
21;1458.14;1455.6724
22;1443.8;1430.2654
23;1245.39;1246.1929
24;1451.81;1452.0524
25;1406.540711;1406.2173
26;1537.43;1539.7555
27;1433.26;1430.9874
28;1208.48;1210.1594
29;1376.85;1377.6023
30;1191.3;1188.018
31;1230.9;1231.0565
32;1487.95;1486.8729
33;1408.2;1408.3324
34;1252.47;1251.7793
35;1200.11;1201.2595
36;1400.79;1400.3762
37;1445.59;1438.1351
38;1445.86;1447.4017
39;1280.93;1283.653
40;1450.37;1448.9653
41;1301.51771;1299.7478
42;1152.6;1153.4451
43;1498.46;1495.193
44;1428.14;1429.4944
45;1217.82;1217.8369
46;1533.79;1535.852
47;1072.82;1073.1731
48;1077.1;1079.3889
49;1573.95;1572.5148
50;1207.44;1207.4454
51;1357.011216;1362.8799
52;1433.07;1435.0632
53;1372.43;1373.1686
54;1436.07;1438.0255
55;1290.0;1289.4589
56;1292.43;1298.8169
57;1383.54;1386.1667
58;1483.84;1481.9408
59;1209.87;1208.3496
60;1326.79;1317.6932
61;1520.52;1520.0815
62;1425.23;1422.1674
63;1284.434909;1283.5276
64;1290.32;1290.34
65;1370.22;1365.5659
66;1458.31;1458.5701
67;1215.82;1215.3016
68;1043.2;1041.7731
69;1426.37;1427.7047
70;1076.57;1077.0198
71;1464.18;1463.0532
72;1354.232311;1353.9474
73;1512.51;1511.6552
74;1413.07;1413.6271
75;1058.2;1059.876
76;1063.46;1064.2931
77;1335.42;1336.2435
78;1239.61;1233.3806
79;1041.5;1043.3928
80;1485.68;1484.2546
81;1445.64;1444.121
82;1217.26;1217.2528
83;1380.25;1384.1088
84;1338.187641;1337.6632
85;1560.39;1561.1063
86;1269.67;1271.5297
87;1412.65;1421.9846
88;1332.408292;1333.0857
89;1369.9167;1369.843
90;1471.59;1470.0197
91;1377.974538;1378.2115
92;1331.81;1332.2981
93;1454.88;1452.5939
94;1451.27;1451.4661
95;1445.7;1446.5243
96;1369.16;1367.9847
97;1217.08;1216.355
98;1436.75;1437.4135
99;1257.604088;1256.1567
100;1460.52;1458.0576
101;1347.99;1347.8136
102;1447.48;1444.6346
103;1235.2;1236.6525
104;1121.82;1121.3545
105;1413.7;1411.6879
106;1472.46;1468.8146
107;1392.45;1401.7178
108;1525.19;1527.7096
109;1445.93;1442.6146
110;1213.4;1215.7867
111;1187.58;1189.3208
112;1200.72;1200.2952
113;1271.05;1276.1615
114;1194.61;1192.2725
115;1199.54;1200.0968
116;1213.4;1215.3115
117;1394.33;1397.2303
118;1269.62;1267.55
119;1244.6;1245.2823
120;1433.96;1428.7366
121;1197.92;1200.0968
122;1221.65;1223.2277
123;1419.36;1420.627
124;1402.62;1403.4691
125;1368.0;1366.8264
126;1206.33;1207.9805
127;1578.59;1574.2833
128;1440.644058;1441.891
129;1051.5;1052.2218
130;1318.4;1324.0391
131;1424.81;1425.2922
132;1110.2;1109.5776
133;1436.86;1437.8527
134;1343.760769;1343.8455
135;1215.99;1216.3032
136;1224.0;1220.6191
137;1267.4;1267.801
138;1294.050599;1292.7954
139;1202.57;1197.7327
140;1366.892822;1365.4323
141;1296.595036;1299.6368
142;1240.9;1241.2924
143;1288.5;1289.4559
144;1059.64;1061.5096
145;1357.96;1359.3174
146;1423.08;1424.2013
147;1398.78;1398.7068
148;1304.18153;1303.9305
149;1355.92;1363.6626
150;1425.13;1419.2523
151;1356.51;1356.6829
152;1247.3;1243.9061
153;1201.0;1200.7938
154;1055.5;1055.6339
155;1204.32;1204.0264
156;1449.54;1448.6335
157;1366.5;1376.5869
158;1349.64;1344.8895
159;1342.54;1342.7872
160;1516.88;1515.6973
161;1253.6;1251.8514
162;1424.0;1423.5027
163;1312.72;1311.3036
164;1231.26;1229.3582
165;1387.69;1387.9988
166;1418.427812;1418.0366
167;1464.08;1461.2218
168;1388.23;1392.9458
169;1206.2;1203.894
170;1496.03;1494.3408
171;1466.4;1465.7394
172;1417.28;1415.3615
173;1347.54;1352.0823
174;1327.08;1327.0356
175;1419.56;1428.5504
176;1396.69;1397.4025
177;1430.99;1430.3207
178;1190.77;1189.4526
179;1337.973997;1337.195
180;1237.140994;1231.506
181;1464.31;1454.6318
182;1302.2;1299.1189
183;1259.37;1259.8934
184;1521.27;1522.36
185;1448.57;1445.8479
186;1367.76;1364.6694
187;1370.45;1365.1533
188;1510.91;1513.19
189;1371.87;1371.2277
